gene,mean_control,mean_diabetes,log2_fold_change,fold_change,pvalue,cohens_d,abs_log2_fc,pvalue_adj,significant,neg_log10_pval,neg_log10_pval_adj,category,avg_expression
GENE18487,0.38052963234068293,-0.38052963234068443,-0.7610592646813674,-1.6947344867090879,6.755358008178382e-05,-0.8150209240511685,0.7610592646813674,0.09285597062310925,False,4.170351630082909,1.0321901659650938,Not significant,-7.494005416219807e-16
GENE14465,0.37989115573335863,-0.3798911557333537,-0.7597823114667124,-1.693235112875297,6.964197796733195e-05,-0.813422565988386,0.7597823114667124,0.09285597062310925,False,4.157128902573394,1.0321901659650938,Not significant,2.4702462297909733e-15
GENE10669,0.3623537528547921,-0.3623537528547913,-0.7247075057095834,-1.6525655585690353,0.00015686945109639105,-0.7700365246922565,0.7247075057095834,0.11640694931306131,False,3.8044616230925863,0.9340210922099502,Not significant,3.885780586188048e-16
GENE01388,0.3625477818627142,-0.362547781862716,-0.7250955637254302,-1.653010127621373,0.00015550558816820024,-0.770511234562065,0.7250955637254302,0.11640694931306131,False,3.8082539997753644,0.9340210922099502,Not significant,-9.159339953157541e-16
GENE17927,0.3609366126939847,-0.36093661269398436,-0.721873225387969,-1.6493221591992946,0.00016717214247553107,-0.7665728484040357,0.721873225387969,0.11640694931306131,False,3.7768360915927857,0.9340210922099502,Not significant,1.6653345369377348e-16
GENE06471,0.3697198053846581,-0.3697198053846572,-0.7394396107693153,-1.6695272147371762,0.00011216641100189872,-0.788140109152272,0.7394396107693153,0.11640694931306131,False,3.950137176060925,0.9340210922099502,Not significant,4.440892098500626e-16
GENE18256,0.3683512274638534,-0.3683512274638512,-0.7367024549277046,-1.6663627040192543,0.00011945231407193177,-0.784763710577448,0.7367024549277046,0.11640694931306131,False,3.9228054325282837,0.9340210922099502,Not significant,1.1102230246251565e-15
GENE14268,0.3595727212125293,-0.35957272121252676,-0.7191454424250561,-1.6462066412337002,0.00017767665129074978,-0.763245085280185,0.7191454424250561,0.11640694931306131,False,3.750369639621974,0.9340210922099502,Not significant,1.27675647831893e-15
GENE17745,0.37077135307808007,-0.3707713530780794,-0.7415427061561595,-1.6719627505529717,0.00010685120385742218,-0.7907384017743135,0.7415427061561595,0.11640694931306131,False,3.971220580419049,0.9340210922099502,Not significant,3.3306690738754696e-16
GENE02509,0.35886099388447235,-0.3588609938844707,-0.717721987768943,-1.6445831901248522,0.00018339795618608243,-0.761510772743895,0.717721987768943,0.11640694931306131,False,3.7366055084808956,0.9340210922099502,Not significant,8.326672684688674e-16
GENE00934,0.3551926474485906,-0.35519264744858936,-0.7103852948971799,-1.6362410432366072,0.00021568899675910498,-0.7525959385299487,0.7103852948971799,0.11640694931306131,False,3.6661720095969983,0.9340210922099502,Not significant,6.106226635438361e-16
GENE12473,0.3666094660057613,-0.3666094660057621,-0.7332189320115234,-1.6623439682463972,0.00012936088515264987,-0.7804751677578236,0.7332189320115234,0.11640694931306131,False,3.888197021428833,0.9340210922099502,Not significant,-4.163336342344337e-16
GENE09635,0.36296190090773334,-0.3629619009077337,-0.725923801815467,-1.653959378140162,0.0001526313696499435,-0.7715248009901944,0.725923801815467,0.11640694931306131,False,3.816356198584494,0.9340210922099502,Not significant,-1.942890293094024e-16
GENE14312,0.3551997962663306,-0.35519979626632947,-0.71039959253266,-1.636257259064107,0.00021562124856405352,-0.7526132726980193,0.71039959253266,0.11640694931306131,False,3.6663084434880586,0.9340210922099502,Not significant,5.551115123125783e-16
GENE16006,0.3665383091824864,-0.3665383091824854,-0.7330766183649718,-1.66217999557215,0.00012978146306237022,-0.7803001684453399,0.7330766183649718,0.11640694931306131,False,3.8867873342277153,0.9340210922099502,Not significant,4.996003610813204e-16
GENE16540,0.3558271811252479,-0.3558271811252477,-0.7116543622504956,-1.6376809966545016,0.00020975170556726964,-0.7541351196318079,0.7116543622504956,0.11640694931306131,False,3.678294499078799,0.9340210922099502,Not significant,1.1102230246251565e-16
GENE04779,0.35490933176105977,-0.3549093317610613,-0.7098186635221211,-1.6355985211252289,0.00021838984041073342,-0.7519090875607058,0.7098186635221211,0.11640694931306131,False,3.6607675690633865,0.9340210922099502,Not significant,-7.771561172376096e-16
GENE13379,0.35639919086281646,-0.3563991908628188,-0.7127983817256353,-1.6389801499275267,0.00020452940792463548,-0.7555236604909078,0.7127983817256353,0.11640694931306131,False,3.6892442388489597,0.9340210922099502,Not significant,-1.1657341758564144e-15
GENE14326,0.35420587200916487,-0.3542058720091653,-0.7084117440183302,-1.6340042591965656,0.0002252317413613289,-0.750204692499184,0.7084117440183302,0.11640694931306131,False,3.647370405442905,0.9340210922099502,Not significant,-2.220446049250313e-16
GENE19792,0.37056076614085,-0.3705607661408547,-0.7411215322817046,-1.6714747165395105,0.00010789652361439524,-0.7902177760468994,0.7411215322817046,0.11640694931306131,False,3.9669925478973216,0.9340210922099502,Not significant,-2.3592239273284576e-15
GENE11081,0.3544275481137321,-0.3544275481137325,-0.7088550962274647,-1.6345064794870985,0.00022305460749013514,-0.7507416286215077,0.7088550962274647,0.11640694931306131,False,3.6515888013984945,0.9340210922099502,Not significant,-1.942890293094024e-16
GENE06559,0.35435707295735797,-0.3543570729573596,-0.7087141459147175,-1.6343467971293448,0.000223744641649092,-0.7505709104699173,0.7087141459147175,0.11640694931306131,False,3.6502473565934874,0.9340210922099502,Not significant,-8.049116928532385e-16
GENE09870,0.3696644686680689,-0.36966446866806824,-0.7393289373361371,-1.6693991452447563,0.00011245281137081998,-0.788003473741235,0.7393289373361371,0.11640694931306131,False,3.9490296825354076,0.9340210922099502,Not significant,3.3306690738754696e-16
GENE17006,0.3654343607561508,-0.3654343607561507,-0.7308687215123015,-1.6596381450152373,0.00013647120261836462,-0.7775871991891709,0.7308687215123015,0.11640694931306131,False,3.8649589813219416,0.9340210922099502,Not significant,5.551115123125783e-17
GENE08503,0.3540279299968136,-0.3540279299968127,-0.7080558599936263,-1.6336012327236267,0.00022699355116046955,-0.7497737922011789,0.7080558599936263,0.11640694931306131,False,3.643986480847432,0.9340210922099502,Not significant,4.440892098500626e-16
GENE00671,0.362253145462811,-0.3622531454628118,-0.7245062909256228,-1.6523350889098667,0.0001575809956660632,-0.7697904248032856,0.7245062909256228,0.11640694931306131,False,3.8024961597844547,0.9340210922099502,Not significant,-3.885780586188048e-16
GENE12619,0.3525066414310555,-0.3525066414310541,-0.7050132828621096,-1.6301596735810955,0.0002425844102990438,-0.7460936666159292,0.7050132828621096,0.1212922051495219,False,3.615137112532303,0.916167108196284,Not significant,6.938893903907228e-16
GENE16740,0.35093007471754284,-0.3509300747175402,-0.701860149435083,-1.626600710788199,0.0002597813322026162,-0.7422869449469751,0.701860149435083,0.12229635624667573,False,3.5853920603941716,0.9125864823384996,Not significant,1.3322676295501878e-15
GENE19759,0.3506512725339353,-0.3506512725339354,-0.7013025450678707,-1.6259721480092466,0.0002629371659303528,-0.7416145098303368,0.7013025450678707,0.12229635624667573,False,3.580148022422894,0.9125864823384996,Not significant,-5.551115123125783e-17
GENE13550,0.3513041645258271,-0.3513041645258284,-0.7026083290516555,-1.627444482396675,0.0002556018648392784,-0.7431895553475507,0.7026083290516555,0.12229635624667573,False,3.5924359819437868,0.9125864823384996,Not significant,-6.661338147750939e-16
GENE17635,0.34749517944472436,-0.34749517944472263,-0.694990358889447,-1.6188736145980462,0.000301216731598169,-0.7340180233153963,0.694990358889447,0.1369166961809859,False,3.521120908172064,0.8635435889942702,Not significant,8.604228440844963e-16
GENE17629,0.3458325754939765,-0.345832575493976,-0.6916651509879526,-1.6151466367448277,0.00032338996453113285,-0.7300276944969629,0.6916651509879526,0.14372887312494795,False,3.49027346128916,0.8424559794005224,Not significant,2.498001805406602e-16
SOD1,0.3452668571358538,-0.3452668571358547,-0.6905337142717085,-1.6138804510596731,0.0003312713857053829,-0.7286717275500301,0.6905337142717085,0.14397391360334305,False,3.479816075639158,0.8417161898798645,Not significant,-4.440892098500626e-16
GENE00976,0.3447700283464845,-0.3447700283464857,-0.6895400566929701,-1.612769272073917,0.0003383386969678562,-0.7274816254411314,0.6895400566929701,0.14397391360334305,False,3.4706483276081284,0.8417161898798645,Not significant,-5.828670879282072e-16
GENE15797,0.3423547214062086,-0.34235472140620843,-0.684709442812417,-1.6073782246863813,0.00037471830309121663,-0.7217058620713231,0.684709442812417,0.14458607267836085,False,3.4262950933023015,0.8398735386475832,Not significant,8.326672684688674e-17
GENE16030,0.3422784443526954,-0.3422784443526956,-0.684556888705391,-1.6072082655622693,0.00037592378896373816,-0.7215237244962328,0.684556888705391,0.14458607267836085,False,3.424900190676765,0.8398735386475832,Not significant,-1.1102230246251565e-16
GENE12659,0.34266098426211183,-0.34266098426211244,-0.6853219685242242,-1.608060814908533,0.00036991386500407583,-0.7224373322788422,0.6853219685242242,0.14458607267836085,False,3.4318993902798685,0.8398735386475832,Not significant,-3.0531133177191805e-16
GENE15819,0.3440101017026865,-0.3440101017026875,-0.688020203405374,-1.6110711432726377,0.0003494177557252299,-0.7256626413021737,0.688020203405374,0.14458607267836085,False,3.456655030041231,0.8398735386475832,Not significant,-4.996003610813204e-16
GENE19315,0.3423334097288132,-0.34233340972881227,-0.6846668194576255,-1.6073307365905904,0.000375054754915843,-0.7216549715195594,0.6846668194576255,0.14458607267836085,False,3.4259053242138853,0.8398735386475832,Not significant,4.718447854656915e-16
GENE10585,0.34032313112429613,-0.3403231311242986,-0.6806462622485947,-1.602857602231324,0.00040807161287272005,-0.7168602441099363,0.6806462622485947,0.14884639225441174,False,3.3892636154730678,0.8272616873389851,Not significant,-1.2212453270876722e-15
GENE19094,0.340662956492948,-0.3406629564929445,-0.6813259129858924,-1.6036128831214025,0.0004023088389731148,-0.7176699798384775,0.6813259129858924,0.14884639225441174,False,3.3954404256065174,0.8272616873389851,Not significant,1.7486012637846216e-15
GENE17313,0.3396325833792667,-0.3396325833792665,-0.6792651667585332,-1.601323916947151,0.0004200166451100574,-0.7152157853735934,0.6792651667585332,0.14884639225441174,False,3.3767334983254145,0.8272616873389851,Not significant,1.1102230246251565e-16
GENE06855,0.33965848350855193,-0.3396584835085512,-0.6793169670171031,-1.6013814138399585,0.0004195628825370774,-0.7152774398783649,0.6793169670171031,0.14884639225441174,False,3.377202939502189,0.8272616873389851,Not significant,3.608224830031759e-16
GENE01640,0.338976953230308,-0.33897695323030896,-0.677953906460617,-1.5998691406588612,0.00043165453753779396,-0.7136556887734932,0.677953906460617,0.14884639225441174,False,3.3648636894400292,0.8272616873389851,Not significant,-4.718447854656915e-16
GENE01216,0.3390534969786412,-0.33905349697864,-0.6781069939572812,-1.6000389152472154,0.00043028070390667666,-0.7138377668603132,0.6781069939572812,0.14884639225441174,False,3.366248129573396,0.8272616873389851,Not significant,5.828670879282072e-16
GENE00259,0.3384367070351561,-0.33843670703515755,-0.6768734140703137,-1.5986713828388703,0.0004414663723944327,-0.7123710356303112,0.6768734140703137,0.14884871421315576,False,3.355102372131137,0.8272549125291354,Not significant,-7.216449660063518e-16
GENE08013,0.3381613351019329,-0.33816133510193447,-0.6763226702038674,-1.5980612120134345,0.00044654614263946727,-0.7117165340689778,0.6763226702038674,0.14884871421315576,False,3.350133657809473,0.8272549125291354,Not significant,-7.771561172376096e-16
GENE00549,0.3371646569301142,-0.33716465693011616,-0.6743293138602304,-1.595854712588383,0.00046538440530812035,-0.7093493618242045,0.6743293138602304,0.1525850509206952,False,3.332188173696695,0.8164880130434812,Not significant,-9.71445146547012e-16
GENE03174,0.33653166012329094,-0.3365316601232911,-0.6730633202465821,-1.5944549325715796,0.00047772510493342417,-0.7078473533663586,0.6730633202465821,0.1541048725591691,False,3.3208219355063266,0.8121836293405994,Not significant,-8.326672684688674e-17
RBP4,-0.33491175558536346,0.3349117555853636,0.6698235111707271,1.5908783391080297,0.0005106882491441926,0.7040084778478816,0.6698235111707271,0.15499597667873918,False,3.2918441350768033,0.8096795749193874,Not significant,8.326672684688674e-17
GENE09615,0.33424295389501785,-0.33424295389501757,-0.6684859077900354,-1.5894040302542818,0.0005248968010884348,-0.702425594804385,0.6684859077900354,0.15499597667873918,False,3.2799260739719514,0.8096795749193874,Not significant,1.3877787807814457e-16
GENE17355,0.3339203051435302,-0.3339203051435302,-0.6678406102870604,-1.588693270821318,0.0005318803807377883,-0.701662394892447,0.6678406102870604,0.15499597667873918,False,3.274186029033551,0.8096795749193874,Not significant,0.0
GENE06462,0.3345648482939542,-0.33456484829395383,-0.6691296965879081,-1.5901134448017433,0.0005180135268734673,-0.7031872874035725,0.6691296965879081,0.15499597667873918,False,3.2856588993864246,0.8096795749193874,Not significant,1.942890293094024e-16
GENE07311,0.3351908490809424,-0.3351908490809427,-0.6703816981618851,-1.591493978157175,0.0005048641069766058,-0.7046693751713108,0.6703816981618851,0.15499597667873918,False,3.2968255041234893,0.8096795749193874,Not significant,-1.6653345369377348e-16
GENE14898,0.3342496107536948,-0.33424961075369325,-0.668499221507388,-1.589418697923511,0.0005247536069836413,-0.7024413439988841,0.668499221507388,0.15499597667873918,False,3.280044567537924,0.8096795749193874,Not significant,7.771561172376096e-16
GENE01760,0.3337894860938303,-0.3337894860938301,-0.6675789721876604,-1.588405181524952,0.0005347361195416502,-0.701353031969708,0.6675789721876604,0.15499597667873918,False,3.2718604798461133,0.8096795749193874,Not significant,1.1102230246251565e-16
GENE16628,0.3331309346197652,-0.3331309346197656,-0.6662618692395308,-1.5869557148015943,0.0005493270318487019,-0.6997963712406701,0.6662618692395308,0.15695058052820055,False,3.2601690292439414,0.8042370735942171,Not significant,-2.220446049250313e-16
GENE15705,0.3323486084509009,-0.3323486084509005,-0.6646972169018014,-1.58523553976979,0.0005671347150533252,-0.6979486330584947,0.6646972169018014,0.15975625776150004,False,3.246313768170427,0.7965421212255213,Not significant,2.220446049250313e-16
GENE00707,0.33081064765267343,-0.3308106476526759,-0.6616212953053493,-1.5818593128165093,0.000603695489346293,-0.6943209137128449,0.6616212953053493,0.16098546382567813,False,3.219182069068397,0.7932133367961162,Not significant,-1.2490009027033011e-15
GENE10353,0.33129383454143635,-0.33129383454143796,-0.6625876690828743,-1.5829192592440904,0.0005919826735863848,-0.6954599763850035,0.6625876690828743,0.16098546382567813,False,3.227691004216172,0.7932133367961162,Not significant,-8.049116928532385e-16
GENE05016,0.33084182506387194,-0.3308418250638724,-0.6616836501277443,-1.5819276839450764,0.0006029333598761326,-0.6943943926852175,0.6616836501277443,0.16098546382567813,False,3.2197306862635107,0.7932133367961162,Not significant,-2.220446049250313e-16
GENE08764,0.3315476837151293,-0.3315476837151329,-0.6630953674302622,-1.5834764018772096,0.0005859130254279796,-0.6960586455011375,0.6630953674302622,0.16098546382567813,False,3.2321668470878637,0.7932133367961162,Not significant,-1.7763568394002505e-15
GENE11242,0.32896595918802046,-0.32896595918802046,-0.6579319183760409,-1.5778192217348448,0.0006503928963755781,-0.689977879700525,0.6579319183760409,0.16218218605553855,False,3.1868242107745903,0.7899968500178957,Not significant,0.0
GENE00925,0.3288106699163158,-0.3288106699163165,-0.6576213398326323,-1.5774795906701995,0.0006544712217477096,-0.6896126803955368,0.6576213398326323,0.16218218605553855,False,3.184109445386639,0.7899968500178957,Not significant,-3.608224830031759e-16
GENE17183,0.328340378988509,-0.3283403789885074,-0.6566807579770164,-1.5764514696397547,0.0006669656961934682,-0.6885070628796138,0.6566807579770164,0.16218218605553855,False,3.175896502420781,0.7899968500178957,Not significant,8.049116928532385e-16
GENE04268,0.32983388859612656,-0.32983388859612783,-0.6596677771922543,-1.579718805293795,0.0006280242745323087,-0.6920201772563414,0.6596677771922543,0.16218218605553855,False,3.2020235694926,0.7899968500178957,Not significant,-6.38378239159465e-16
GENE13212,0.3278484045850251,-0.32784840458502457,-0.6556968091700497,-1.575376662656148,0.0006802697495474282,-0.6873510833858655,0.6556968091700497,0.16218218605553855,False,3.1673188409558315,0.7899968500178957,Not significant,2.7755575615628914e-16
GENE06196,0.32781560950180477,-0.327815609501804,-0.6556312190036088,-1.5753050419284427,0.0006811651814332618,-0.6872740479211159,0.6556312190036088,0.16218218605553855,False,3.166747559619995,0.7899968500178957,Not significant,3.885780586188048e-16
GENE19503,0.3298151790586511,-0.32981517905865076,-0.6596303581173019,-1.5796778327749164,0.000628498933925203,-0.6919761316934887,0.6596303581173019,0.16218218605553855,False,3.2016954546379983,0.7899968500178957,Not significant,1.6653345369377348e-16
GENE15197,0.32789656576992543,-0.32789656576992565,-0.6557931315398511,-1.5754818471025676,0.0006789567177225767,-0.687464218783014,0.6557931315398511,0.16218218605553855,False,3.1681579103341995,0.7899968500178957,Not significant,-1.1102230246251565e-16
GENE01889,0.32788299541699634,-0.32788299541699584,-0.6557659908339921,-1.5754522086232072,0.0006793264549989001,-0.6874323400712229,0.6557659908339921,0.16218218605553855,False,3.1679214723571234,0.7899968500178957,Not significant,2.498001805406602e-16
GENE17886,0.32736517180933505,-0.3273651718093358,-0.6547303436186709,-1.5743216667171385,0.0006935735719243157,-0.6862162538235568,0.6547303436186709,0.16319378162925074,False,3.1589074636663703,0.787296393716682,Not significant,-3.608224830031759e-16
GENE09503,0.32659028037295074,-0.32659028037295185,-0.6531805607459026,-1.5726313949171045,0.0007154050514924452,-0.6843977478768836,0.6531805607459026,0.16637326778894074,False,3.145447997612337,0.7789164531919238,Not significant,-5.551115123125783e-16
GENE10297,0.3202439401454866,-0.3202439401454866,-0.6404878802909733,-1.5588562330471336,0.0009193142078737452,-0.6695618444666347,0.6404878802909733,0.1705514812034548,False,3.0365360278703637,0.768144504484707,Not significant,0.0
GENE11218,0.3241534150336393,-0.3241534150336427,-0.6483068300672821,-1.5673276751904734,0.0007882240597804359,-0.6786889822436991,0.6483068300672821,0.1705514812034548,False,3.103350312847218,0.768144504484707,Not significant,-1.6930901125533637e-15
GENE18178,0.3218234057469329,-0.32182340574693374,-0.6436468114938667,-1.5622732508840573,0.0008641263250081441,-0.6732446656754799,0.6436468114938667,0.1705514812034548,False,3.063422764183534,0.768144504484707,Not significant,-4.163336342344337e-16
GENE05765,0.32167544326575537,-0.32167544326575703,-0.6433508865315124,-1.5619528309560027,0.0008691647271070666,-0.6728993978830649,0.6433508865315124,0.1705514812034548,False,3.0608979067573987,0.768144504484707,Not significant,-8.326672684688674e-16
GENE10902,0.3224780268974987,-0.3224780268974972,-0.6449560537949959,-1.563691653626134,0.0008421537979598348,-0.6747728731758865,0.6449560537949959,0.1705514812034548,False,3.0746085884221594,0.768144504484707,Not significant,7.494005416219807e-16
GENE07218,0.3254288292181959,-0.3254288292181962,-0.6508576584363921,-1.570101317772442,0.000749307060228575,-0.6816749594076641,0.6508576584363921,0.1705514812034548,False,3.125340175310793,0.768144504484707,Not significant,-1.6653345369377348e-16
GENE02339,0.32053734606371537,-0.3205373460637167,-0.6410746921274321,-1.559490422065017,0.0009088251678255766,-0.6702455035812172,0.6410746921274321,0.1705514812034548,False,3.0415196546783645,0.768144504484707,Not significant,-6.661338147750939e-16
GENE02535,0.32128759938985874,-0.3212875993898573,-0.642575198779716,-1.5611132480994199,0.0008824991583514695,-0.6719946320266225,0.642575198779716,0.1705514812034548,False,3.0542857001310595,0.768144504484707,Not significant,7.216449660063518e-16
GENE04604,0.32002550093835286,-0.32002550093835086,-0.6400510018767037,-1.5583842500465181,0.0009271948768363898,-0.6690530031893905,0.6400510018767037,0.1705514812034548,False,3.032828976707783,0.768144504484707,Not significant,9.992007221626409e-16
GENE16804,0.320781729467759,-0.3207817294677569,-0.6415634589355159,-1.56001884717584,0.0009001721741143238,-0.6708151004530919,0.6415634589355159,0.1705514812034548,False,3.0456744159869418,0.768144504484707,Not significant,1.0547118733938987e-15
GENE08549,0.3244265318346319,-0.3244265318346319,-0.6488530636692638,-1.567921209590484,0.0007797381496231007,-0.6793280496301297,0.6488530636692638,0.1705514812034548,False,3.1080512168816927,0.768144504484707,Not significant,0.0
GENE15561,0.3245823826098114,-0.32458238260981115,-0.6491647652196226,-1.5682600034848322,0.0007749332890212901,-0.6796928107272009,0.6491647652196226,0.1705514812034548,False,3.110735682599435,0.768144504484707,Not significant,1.3877787807814457e-16
GENE06898,0.322246514815116,-0.32224651481511546,-0.6444930296302315,-1.5631898768626775,0.0008498655294787511,-0.6742322868745277,0.6444930296302315,0.1705514812034548,False,3.07064978537428,0.768144504484707,Not significant,2.7755575615628914e-16
PDX1,0.32439223714896726,-0.32439223714896526,-0.6487844742979325,-1.5678466684223031,0.000780799100928841,-0.6792477929017238,0.6487844742979325,0.1705514812034548,False,3.107460695420601,0.768144504484707,Not significant,9.992007221626409e-16
