gene,mean_control,mean_diabetes,log2_fold_change,fold_change,pvalue,cohens_d,abs_log2_fc,pvalue_adj,significant,neg_log10_pval,neg_log10_pval_adj,category,avg_expression
GENE12559,-0.2198677634507972,0.2198677634508,0.43973552690159723,1.3563556591875188,0.02492016899731638,0.44641058233288294,0.43973552690159723,0.33503410709024317,False,1.6034490168141082,0.47491097873303595,Not significant,1.4016565685892601e-15
GENE01671,-0.21871925440134987,0.21871925440134843,0.4374385088026983,1.354197826477606,0.02570562641878768,0.44396121540513817,0.4374385088026983,0.33632395309580326,False,1.5899718083731762,0.47324220099674885,Not significant,-7.216449660063518e-16
GENE02767,-0.21592697365794844,0.21592697365794558,0.431853947315894,1.348965963500226,0.02770369669303781,0.4380143175033857,0.431853947315894,0.34136509817646304,False,1.5574622761965784,0.4667808840537945,Not significant,-1.429412144204889e-15
GENE08370,-0.21495463096362266,0.2149546309636232,0.4299092619272459,1.3471488454909861,0.028429766404970202,0.4359461127126351,0.4299092619272459,0.3423739139366347,False,1.5462267087038322,0.46549933238551683,Not significant,2.636779683484747e-16
CCL2,-0.21406997121429697,0.2140699712142981,0.4281399424285951,1.3454977164121456,0.029104329878359123,0.43406559349464474,0.4281399424285951,0.3448380317341128,False,1.5360423958115441,0.4623848424371992,Not significant,5.689893001203927e-16
GENE14733,-0.21288868159707203,0.2128886815970708,0.42577736319414283,1.3432961121695919,0.030026196421706,0.4315562731334964,0.42577736319414283,0.34744055681260416,False,1.5224996787129714,0.4591194876394732,Not significant,-6.106226635438361e-16
GENE11919,-0.2120783258365993,0.2120783258366029,0.4241566516732022,1.3417879118807323,0.03067278924952746,0.42983604544333226,0.4241566516732022,0.3493139652000837,False,1.513246729377832,0.45678405138469197,Not significant,1.8041124150158794e-15
GENE14583,-0.21145185150943704,0.2114518515094385,0.42290370301887553,1.3406231047083632,0.03118069927603276,0.4285067988241236,0.42290370301887553,0.35054186932021086,False,1.5061141493037855,0.4552601017237295,Not significant,7.216449660063518e-16
GENE11524,-0.21079913230460523,0.21079913230460537,0.42159826460921057,1.3394105758758805,0.03171743237090234,0.4271224541593895,0.42159826460921057,0.3522235226091036,False,1.4987019774793784,0.4531816438309615,Not significant,6.938893903907228e-17
GENE17151,-0.2096236146748953,0.20962361467489726,0.4192472293497925,1.3372296319014876,0.03270375584799151,0.4246308187323066,0.4192472293497925,0.35363210305670484,False,1.4854023681228945,0.451448316205577,Not significant,9.853229343548264e-16
GENE06344,-0.20709236356818927,0.20709236356818636,0.41418472713637566,1.3325454374092949,0.0349157057435144,0.4192720821161417,0.41418472713637566,0.3601466698097585,False,1.456979175234985,0.443520596686076,Not significant,-1.457167719820518e-15
GENE01531,-0.20398652733374187,0.20398652733374406,0.4079730546674859,1.326820359234072,0.03780042155095071,0.41270893732740443,0.4079730546674859,0.36388786463109973,False,1.422503356876243,0.43903242754547334,Not significant,1.096345236817342e-15
ICAM1,-0.2012971088605536,0.20129710886055552,0.40259421772110915,1.3218827510623228,0.040457262325428484,0.4070362655132118,0.40259421772110915,0.37090142457486025,False,1.3930035085446038,0.43074149861042266,Not significant,9.575673587391975e-16
GENE00921,-0.20109276994090278,0.2010927699409025,0.4021855398818053,1.3215083492222048,0.04066534797362673,0.4066056565598724,0.4021855398818053,0.37103419683965994,False,1.3907755070874444,0.4305860612357947,Not significant,-1.3877787807814457e-16
GENE03799,-0.20104756175802535,0.20104756175802685,0.4020951235160522,1.3214255304457225,0.04071150562555294,0.4065103956039347,0.4020951235160522,0.37128596101735467,False,1.3902828358967474,0.43029147191028916,Not significant,7.494005416219807e-16
GENE04824,-0.20081493852751142,0.20081493852751092,0.40162987705502234,1.3209994601987416,0.04094970671575323,0.4060202636021929,0.40162987705502234,0.37190010872561063,False,1.3877492043354582,0.42957369467430023,Not significant,-2.498001805406602e-16
GENE18599,-0.20066973462373058,0.2006697346237298,0.4013394692474604,1.32073357590759,0.041098981263365635,0.40571435847447607,0.4013394692474604,0.37200294967864306,False,1.3861689430188733,0.4294536165049861,Not significant,-3.885780586188048e-16
TNF,-0.19871979012614013,0.198719790126141,0.3974395802522811,1.3171681939223199,0.04314797706244569,0.4016090453417247,0.3974395802522811,0.37318960981509264,False,1.3650395608111496,0.42807045619774237,Not significant,4.3021142204224816e-16
GENE17937,-0.1977146448584919,0.19771464485849133,0.3954292897169832,1.315334094051108,0.04423696824002627,0.3994948072638118,0.3954292897169832,0.3744134382281763,False,1.3542146448531078,0.4266485722106192,Not significant,-2.914335439641036e-16
GENE05897,-0.19737421306897668,0.19737421306898012,0.3947484261379568,1.3147134834845426,0.04461093933497485,0.398779035469382,0.3947484261379568,0.37490653068857177,False,1.3505586320889977,0.4260769943148947,Not significant,1.7208456881689926e-15
GENE07337,-0.19533374728282396,0.1953337472828238,0.39066749456564775,1.3109998264406986,0.046907896198835806,0.39449200800494755,0.39066749456564775,0.3792299275128529,False,1.328754044557109,0.4210973969647136,Not significant,-8.326672684688674e-17
GENE13485,-0.19452304371507786,0.1945230437150817,0.38904608743015956,1.3095272557510698,0.047847318526728674,0.3927901984616142,0.38904608743015956,0.3831669908601215,False,1.320142396062195,0.416611911662336,Not significant,1.915134717478395e-15
GENE10839,-0.19351273031883637,0.1935127303188363,0.3870254606376727,1.3076944264841042,0.04903979300094432,0.39067054318023836,0.3870254606376727,0.38586562558086596,False,1.3094513716612843,0.4135639083565089,Not significant,-2.7755575615628914e-17
GENE11920,-0.19279440680786888,0.19279440680786766,0.38558881361573655,1.306392862292878,0.049902493130087426,0.3891642736625949,0.38558881361573655,0.3882512805733016,False,1.3018777564689545,0.41088710315896243,Not significant,-6.106226635438361e-16
GENE11478,-0.19271967241507876,0.1927196724150793,0.38543934483015807,1.3062575219511368,0.04999296404844867,0.38900759872143525,0.38543934483015807,0.38844571910216524,False,1.3010911134629743,0.41066966036736113,Not significant,2.7755575615628914e-16
GENE07996,-0.19222592634595947,0.1922259263459605,0.38445185269191995,1.3053637241370506,0.05059408616626197,0.38797267434289506,0.38445185269191995,0.3891659505376781,False,1.2959002439399963,0.4098651646536434,Not significant,5.134781488891349e-16
GENE03999,-0.18857339453318886,0.18857339453318878,0.37714678906637766,1.29877074129052,0.05522867068010181,0.3803261672097236,0.37714678906637766,0.39928406219731244,False,1.2578354098497293,0.3987180247365468,Not significant,-4.163336342344337e-17
GENE03355,-0.1875874598363406,0.18758745983634187,0.37517491967268246,1.2969967995962899,0.05653776581591823,0.37826495195102516,0.37517491967268246,0.4036970068969527,False,1.247661357377971,0.3939444705375579,Not significant,6.38378239159465e-16
GENE12597,-0.18571912100997398,0.18571912100997418,0.37143824201994813,1.2936418369003448,0.05908827009165491,0.3743622090723572,0.37143824201994813,0.40693972266300116,False,1.228498724534566,0.3904699152306614,Not significant,9.71445146547012e-17
GENE16671,-0.18517225877796714,0.18517225877796645,0.37034451755593356,1.292661483119117,0.05985235292674571,0.37322067520603996,0.37034451755593356,0.40813060297815007,False,1.222918771857138,0.38920083917370896,Not significant,-3.469446951953614e-16
GENE05397,-0.1847006862163094,0.1847006862163062,0.3694013724326156,1.291816696855954,0.06051770517337388,0.3722365912217333,0.3694013724326156,0.40882540879655654,False,1.2181175487492555,0.38846212031655386,Not significant,-1.5959455978986625e-15
GENE16457,-0.18475408526136552,0.18475408526136344,0.369508170522729,1.2919123294454593,0.06044206137807268,0.3723480116901527,0.369508170522729,0.40882540879655654,False,1.2186607324558494,0.38846212031655386,Not significant,-1.0408340855860843e-15
GENE04093,-0.18417362985750685,0.18417362985750665,0.3683472597150135,1.2908731689325628,0.06126847490848691,0.3711370378708532,0.3683472597150135,0.40945286208222575,False,1.2127629299678977,0.3877960888142547,Not significant,-9.71445146547012e-17
GENE01853,-0.18414074684659662,0.18414074684659498,0.36828149369319163,1.2908143251328579,0.0613155660968133,0.3710684478052872,0.36828149369319163,0.40945286208222575,False,1.2124292577529057,0.3877960888142547,Not significant,-8.187894806610529e-16
